,X.source..id,title,Outcome,surgical_arm,medical_arm,study,year.of.study,unique.ab.,fx_type,event.surg,all.surg,event.control,all.control,RCT_ID,Notes
30,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Montesinos,2011,,RR,97,97,6,106,Montesinos 2011,
31,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Moodliar,2005,,RR,47,47,43,47,Moodliar 2005,duplicates reclassify the surgery arm as surgical abortion
32,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Dilatation and curretage,Misoprostol,Moodliar,2005,,RR,47,47,43,47,Moodliar 2005,right classification of surgical arm
33,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Moodliar,2005,,RR,47,47,4,47,Moodliar 2005,
34,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Live birth,Laparoscopic ovarian drilling,Medical ovulation induction,Palomba,2010,,OR,13,25,12,25,Palomba 2010,
35,CD009526.PUB2,Ovarian surgery for symptom relief in women with polycystic ovary syndrome,Menstrual regularity at 6 months LOD v medical interventions,Laparoscopic ovarian drilling,Metformin + Clomiphene,Palomba,2010,,OR,17,25,20,25,Palomba 2010,
36,CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome,Multiple pregnancy,Laparoscopic ovarian drilling,Medical ovulation induction,Palomba,2010,,OR,0,25,0,25,Palomba 2010,
37,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Patua,2013,,RR,48,50,42,50,Patua 2013,adjusted the number copy paste error across the rows
38,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Patua,2013,,RR,48,50,42,50,Patua 2013,adjusted the number copy paste error across the rows
39,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Patua,2013,,RR,50,50,4,50,Patua 2013,
40,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Sahin,2001,,RR,40,40,38,40,Sahin 2001,
41,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Sahin,2001,,RR,40,40,38,40,Sahin 2001,
42,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Sahin,2001,,RR,40,40,1,40,Sahin 2001,
43,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Shwekerela,2007,,RR,150,150,149,150,Shwekerela 2007,
44,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Shwekerela,2007,,RR,150,150,149,150,Shwekerela 2007,
45,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Shwekerela,2007,,RR,150,150,1,150,Shwekerela 2007,
46,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Taylor,2011,,RR,109,110,106,108,Taylor 2011,
47,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Taylor,2011,,RR,109,110,106,108,Taylor 2011,
48,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,Composite outcome of death or serious complication,Suction aspiration,Misoprostol,Taylor,2011,,RR,0,110,1,108,Taylor 2011,
49,CD007223.PUB4,Medical treatments for incomplete miscarriage,Death or serious complication,Suction aspiration,Vaginal or oral misoprostol,Taylor,2011,,RR,0,110,0,108,Taylor 2011,
50,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Taylor,2011,,RR,110,110,1,108,Taylor 2011,
51,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol and mifepristone,Trinder,2006,,RR,290,310,192,308,Trinder 2006,
52,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,Composite outcome of death or serious complication,Suction aspiration,Misoprostol and mifepristone,Trinder,2006,,RR,0,310,3,308,Trinder 2006,
53,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Trinder,2006,,RR,78,92,26,90,Trinder 2006,
54,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Weeks,2005,,RR,75,82,103,107,Weeks 2005,
55,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Weeks,2005,,RR,75,82,103,107,Weeks 2005,
56,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,Composite outcome of death or serious complication,Suction aspiration,Misoprostol,Weeks,2005,,RR,0,82,0,107,Weeks 2005,
57,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Weeks,2005,,RR,76,82,4,107,Weeks 2005,
58,CD007223.PUB4,Medical treatments for incomplete miscarriage,"Complete miscarriage
",Suction aspiration,Vaginal or oral misoprostol,Zhang,2005,,RR,8,9,25,30,Zhang 2005,subgroup (incomplete miscarriage)
59,CD012602.PUB2,Methods for managing miscarriage: a network meta_analysis,"Complete miscarriage
",Suction aspiration,Misoprostol,Zhang,2005,,RR,143,148,412,488,Zhang 2005,subgroup (incomplete miscarriage)
60,CD007223.PUB4,Medical treatments for incomplete miscarriage,Death or serious complication,Suction aspiration,Vaginal or oral misoprostol,Zhang,2005,,RR,0,9,1,29,Zhang 2005,
61,CD007223.PUB4,Medical treatments for incomplete miscarriage,Surgical evacuation,Suction aspiration,Vaginal or oral misoprostol,Zhang,2005,,RR,9,9,4,30,Zhang 2005,
