"","INFO","title","surgical_arm","medical_arm","Outcome","orig_fx_type","k","tau","UWLS","Esigtot","SStot","ESS","TESS"
"24","CD003435.PUB2 Death at the end of follow-up Surgical decompression Osmotic agents, blood pressure control, and glucose control","Surgical decompression for cerebral oedema in acute ischaemic stroke","Surgical decompression","Osmotic agents, blood pressure control, and glucose control","Death at the end of follow-up","OR",3,0,-1.01637851895212,1.93529133005743e-05,3,0.9999935490289,7.54978316815101
"25","CD003712.PUB3 Angina reduction Transmyocardial lazer revascularization Continued medication","Transmyocardial laser revascularization versus medical therapy for refractory angina","Transmyocardial lazer revascularization","Continued medication","Angina reduction","OR",7,0.324762208142285,0.692667814199993,3.17432690125817,7,0.54652472839169,6.02758158945166
"26","CD003712.PUB3 Early postoperative mortality (30 d) Transmyocardial lazer revascularization Continued medication","Transmyocardial laser revascularization versus medical therapy for refractory angina","Transmyocardial lazer revascularization","Continued medication","Early postoperative mortality (30 d)","OR",6,0.22971769907989,0.040545487221167,0.474252249573998,0,-0.0790420415956663,-1.45030734307243
"27","CD003712.PUB3 Overall mortality Transmyocardial lazer revascularization Continued medication","Transmyocardial laser revascularization versus medical therapy for refractory angina","Transmyocardial lazer revascularization","Continued medication","Overall mortality","OR",7,0.0274931752549548,0.0572873233574324,0.436566397957251,0,-0.0623666282796074,-1.36407913072282
"28","CD003919.PUB2 Failure to control IOP Argon laser trabeculoplasty IOP reducing medication","Laser trabeculoplasty for open angle glaucoma","Argon laser trabeculoplasty","IOP reducing medication","Failure to control IOP","RR",3,0.0116069352978104,-0.288134722580644,0.005939881003999,1,0.331353372998667,2.23596987783675
"29","CD003919.PUB2 Optic neuropathy progression Argon laser trabeculoplasty IOP reducing medication","Laser trabeculoplasty for open angle glaucoma","Argon laser trabeculoplasty","IOP reducing medication","Optic neuropathy progression","RR",2,0.0757727041575902,-0.210241933182537,0.0615980980168347,0,-0.0307990490084173,-0.524293462246384
"30","CD003919.PUB2 Visual field progression Argon laser trabeculoplasty IOP reducing medication","Laser trabeculoplasty for open angle glaucoma","Argon laser trabeculoplasty","IOP reducing medication","Visual field progression","RR",2,0,-0.218967186849774,0.013075730139491,0,-0.00653786506974552,-0.366866112772537
"31","CD003983.PUB3 Mortality 6 mo Decompressive craniectomy Medical treatment (including barbiturates)","Decompressive craniectomy for the treatment of high intracranial pressure in closed traumatic brain injury","Decompressive craniectomy","Medical treatment (including barbiturates)","Mortality 6 mo","RR",3,0.0510473991259924,-0.365062599889567,0.0225426419492402,1,0.325819119350253,2.19198808965957
"32","CD003983.PUB3 Neurological unfavourable outcome 6 mo Decompressive craniectomy Medical treatment (including barbiturates)","Decompressive craniectomy for the treatment of high intracranial pressure in closed traumatic brain injury","Decompressive craniectomy","Medical treatment (including barbiturates)","Neurological unfavourable outcome 6 mo","RR",3,0.0242169602744587,0.156997993432066,0.621419430192125,1,0.126193523269292,0.605524721813792
"33","CD004272.PUB3 Overall survival Surgery Tamoxifen","Surgery versus primary endocrine therapy for operable primary breast cancer in elderly women (70 years plus)","Surgery","Tamoxifen","Overall survival","RR",3,0,0.325322437609064,0.52256524606444,0,-0.174188415354813,-1.78166886129953
"34","CD006499.PUB4 improved ocular alignment  10 PD children Surgical correction Botulinum toxin","Botulinum toxin for the treatment of strabismus","Surgical correction","Botulinum toxin","improved ocular alignment  10 PD children","RR",2,0,0.281534102750045,0.240862954647031,0,-0.120431477323515,-1.10590545827344
"35","CD007223.PUB4 Complete miscarriage
 Suction aspiration Vaginal or oral misoprostol","Medical treatments for incomplete miscarriage","Suction aspiration","Vaginal or oral misoprostol","Complete miscarriage
","RR",15,0.178481367170126,0.659005615418448,3.1682761328043,3,-0.01121840885362,-1.08787967347917
"36","CD007223.PUB4 Death or serious complication Suction aspiration Vaginal or oral misoprostol","Medical treatments for incomplete miscarriage","Suction aspiration","Vaginal or oral misoprostol","Death or serious complication","RR",5,0,0.00740192955363801,0.127036802721647,0,-0.0254073605443293,-0.773663195063621
"37","CD007223.PUB4 Surgical evacuation Suction aspiration Vaginal or oral misoprostol","Medical treatments for incomplete miscarriage","Suction aspiration","Vaginal or oral misoprostol","Surgical evacuation","RR",13,2.58107533825924,2.83837124695278,10.1239619253571,13,0.221233698049456,2.83278821739847
"38","CD009526.PUB2 Menstrual regularity at 6 months LOD v medical interventions Laparoscopic ovarian drilling Metformin","Ovarian surgery for symptom relief in women with polycystic ovary syndrome","Laparoscopic ovarian drilling","Metformin","Menstrual regularity at 6 months LOD v medical interventions","OR",2,0.26527188573398,0.0155107813602385,0.465838786913526,1,0.267080606543237,1.40860497973487
"39","CD009526.PUB2 Menstrual regularity at 6 months LOD v medical interventions Laparoscopic ovarian drilling Metformin + Clomiphene","Ovarian surgery for symptom relief in women with polycystic ovary syndrome","Laparoscopic ovarian drilling","Metformin + Clomiphene","Menstrual regularity at 6 months LOD v medical interventions","OR",2,0.0117665012666986,0.0140675765244878,0.101463490635603,0,-0.0507317453178014,-0.653633875137431
"40","CD009860.PUB2 Resolution of triggering Open surgery Corticosteroid injection","Surgery for trigger finger","Open surgery","Corticosteroid injection","Resolution of triggering","RR",2,0,1.26770765592884,1.34411986712946,2,0.327940066435268,1.80351330265231
"41","CD010244.PUB2 Overall mortality (5 y) Pancreatic resection Chemoradiotherapy","Resection versus other treatments for locally advanced pancreatic cancer","Pancreatic resection","Chemoradiotherapy","Overall mortality (5 y)","RR",2,0,1.24523296713104,0.621273780803477,0,-0.310636890401738,-2.34012115492596
"42","CD010287.PUB3 Live birth Laparoscopic ovarian drilling Letrozele","Aromatase inhibitors (letrozole) for subfertile women with polycystic ovary syndrome","Laparoscopic ovarian drilling","Letrozele","Live birth","RR",3,0.0107564501787416,-0.178023505555465,0.0166567429021082,0,-0.00555224763403606,-0.441484496993825
"43","CD010541.PUB3 Proportion free from seizures at 1 year Epilepsy surgery Continued antiepileptic drugs","Surgery for epilepsy","Epilepsy surgery","Continued antiepileptic drugs","Proportion free from seizures at 1 year","RR",2,0.0336717144731016,1.86679531002853,1.99589815629211,2,0.00205092185394251,-0.311134703950537
"44","CD010651.PUB2 Mortality VATS Thoracostomy drainage (with fibrinolytics)","Surgical versus non-surgical management for pleural empyema","VATS","Thoracostomy drainage (with fibrinolytics)","Mortality","RR",7,0,-0.0474060539333393,0.157504616227306,0,-0.0225006594610438,-0.88012462462042
"45","CD011498.PUB2 Long_term mortality (binary outcome) Oesophagectomy Chemoradiotherapy and/or radiotherapy","Non-surgical versus surgical treatment for oesophageal cancer","Oesophagectomy","Chemoradiotherapy and/or radiotherapy","Long_term mortality (binary outcome)","RR",3,0,-0.0531190375931654,0.0395158223843908,0,-0.0131719407947969,-0.502039677847835
"46","CD011498.PUB2 Short_term mortality (All_cause mortality either in_hospital or within 3 months) Oesophagectomy Chemoradiotherapy and/or radiotherapy","Non-surgical versus surgical treatment for oesophageal cancer","Oesophagectomy","Chemoradiotherapy and/or radiotherapy","Short_term mortality (All_cause mortality either in_hospital or within 3 months)","RR",5,0.293228817247734,0.57596755613991,1.17821942532638,2,0.164356114934723,1.17326898351588
"47","CD012017.PUB2 Proportion of patients who have no AOM recurrences at 6 months post_randomisation Grommets (ventilation tubes) Antibiotic prophylaxis","Grommets (ventilation tubes) for recurrent acute otitis media in children","Grommets (ventilation tubes)","Antibiotic prophylaxis","Proportion of patients who have no AOM recurrences at 6 months post_randomisation","RR",2,0,0.561355045434089,0.763502279538293,1,0.118248860230853,0.442857083888152
"48","CD012602.PUB2 Complete miscarriage
 Dilatation and curretage Misoprostol","Methods for managing miscarriage: a network meta_analysis","Dilatation and curretage","Misoprostol","Complete miscarriage
","RR",4,0,2.15102444743767,3.16967997028893,3,-0.0424199925722322,-0.84810401681082
"49","CD012602.PUB2 Complete miscarriage
 Suction aspiration Misoprostol","Methods for managing miscarriage: a network meta_analysis","Suction aspiration","Misoprostol","Complete miscarriage
","RR",22,0.264707568345513,0.835433728730001,8.23281112859972,11,0.125781312336376,1.63089746418355
"50","CD012602.PUB2 Complete miscarriage
 Suction aspiration Misoprostol and mifepristone","Methods for managing miscarriage: a network meta_analysis","Suction aspiration","Misoprostol and mifepristone","Complete miscarriage
","RR",2,0,1.20192586006269,1.30912829013076,1,-0.15456414506538,-1.32738745299622
"51","CD012602.PUB2 Composite outcome of death or serious complication Dilatation and curretage Misoprostol","Methods for managing miscarriage: a network meta_analysis","Dilatation and curretage","Misoprostol","Composite outcome of death or serious complication","RR",2,0,-0.0321312040628879,0.0430650070491123,0,-0.0215325035245562,-0.464164175151791
"52","CD012602.PUB2 Composite outcome of death or serious complication Suction aspiration Misoprostol","Methods for managing miscarriage: a network meta_analysis","Suction aspiration","Misoprostol","Composite outcome of death or serious complication","RR",9,0,0.197431580993903,0.368479362661752,0,-0.0409421514068613,-1.25181362428637
"53","CD012743.PUB2 Proportion of participants who were drop‐free 6-18 mo iStent Latanoprost/timolol","Ab interno trabecular bypass surgery with iStent for open-angle glaucoma","iStent","Latanoprost/timolol","Proportion of participants who were drop‐free 6-18 mo","RR",2,0,4.26475489412316,1.99839160764198,2,0.000804196179010841,-0.319224528380442
