X.source..id,title,specialty,
CD011165.PUB2,Tonsillectomy or adenotonsillectomy versus non‐surgical management for obstructive sleep‐disordered breathing in children,otolaryngology,
CD005656.PUB3,Intravitreal steroids for macular edema in diabetes,ophthalmology,
CD009860.PUB2,Surgery for trigger finger,orthopaedic surgery,
CD013502,Surgery for rotator cuff tears,orthopaedic surgery,
CD002180,Surgery versus non‐surgical treatment for bronchiectasis,thoracic surgery,
CD010868.PUB2,Interventions for dissociated vertical deviation,ophthalmology,
CD001408.PUB2,Botulinum toxin type A in the treatment of lower limb spasticity in children with cerebral palsy,orthopaedic surgery,
CD003919.PUB2,Laser trabeculoplasty for open angle glaucoma,ophthalmology,
CD010312.PUB2,Prostaglandins for management of retained placenta,obstetrics and gynecology,
CD011693.PUB3,Ab interno trabecular bypass surgery with Trabectome for open‐angle glaucoma,ophthalmology,
CD008669.PUB3,"Tonsillectomy for periodic fever, aphthous stomatitis, pharyngitis and cervical adenitis syndrome (PFAPA)",otolaryngology,
CD008128.PUB2,Treatment of valvular heart disease during pregnancy for improving maternal and neonatal outcome,cardiac surgery,
CD001923.PUB2,Carotid endarterectomy for asymptomatic carotid stenosis,vascular surgery,
CD010960.PUB2,Injection therapies for Achilles tendinopathy,orthopaedic surgery,
CD003738.PUB3,Interventions for preventing posterior capsule opacification,ophthalmology,
CD013000.PUB2,Interventions for orbital lymphangioma,otolaryngology,
CD008282,Adenoidectomy for recurrent or chronic nasal symptoms in children,otolaryngology,
CD003263.PUB5,Interventions for vitiligo,dermatology,
CD008583.PUB3,Ultrasound‐guided transvaginal ovarian needle drilling for clomiphene‐resistant polycystic ovarian syndrome in subfertile women,obstetrics and gynecology,
CD007810.PUB2,Adenoidectomy for otitis media in children,otolaryngology,
CD006181.PUB2,Prophylactic surgical ligation of patent ductus arteriosus for prevention of mortality and morbidity in extremely low birth weight infants,cardiac surgery,
CD011917.PUB2,Surgery for limited‐stage small‐cell lung cancer,thoracic surgery,
CD010264.PUB2,Surgical versus non‐surgical treatment for lumbar spinal stenosis,orthopaedic surgery,
CD008732.PUB2,Macular grid laser photocoagulation for branch retinal vein occlusion,ophthalmology,
CD011680.PUB2,Interventions for necrotizing soft tissue infections in adults,general surgery,
CD001801.PUB3,Grommets (ventilation tubes) for hearing loss associated with otitis media with effusion in children,otolaryngology,
CD006205.PUB4,Interventions for the treatment of oral and oropharyngeal cancers: surgical treatment,otolaryngology,
CD009245.PUB3,Interventions for the treatment of Paget's disease of the vulva,obstetrics and gynecology,
CD012798.PUB3,Interventions for treating distal intestinal obstruction syndrome (DIOS) in cystic fibrosis,general surgery,
CD008089.PUB2,Surgery for shoulder osteoarthritis,orthopaedic surgery,
CD008497.PUB3,Deep brain and cortical stimulation for epilepsy,neurosurgery,
CD004325.PUB2,Surgical versus non‐surgical treatment for acute anterior shoulder dislocation,orthopaedic surgery,
CD005048.PUB4,Interventions for dysphagia in oesophageal cancer,general surgery,
CD000200.PUB2,Surgery for primary supratentorial intracerebral haemorrhage,neurosurgery,
CD011031.PUB3,Laparoscopic surgery for endometriosis,obstetrics and gynecology,
CD010796.PUB2,Surgery for treating hip impingement (femoroacetabular impingement),orthopaedic surgery,
CD006769.PUB2,Interventions for late trabeculectomy bleb leak,ophthalmology,
CD001532.PUB5,Interventions for primary vesicoureteric reflux,urology,
CD008104.PUB2,Interventions for treating osteochondral defects of the talus in adults,orthopaedic surgery,
CD001552.PUB2,Surgical versus non-surgical treatment for carpal tunnel syndrome,orthopaedic surgery,
